# RideMetricX – Front Suspension IMU Sample Data
# Position: front | Session: 2025-06-01T10:00:00Z | Rate: 200 Hz
# Sensor: Bosch BMI088 | Bike: Yamaha Tenere 700 (2025)
timestamp_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,temp_c,sample_count
0,0.02,-0.01,1.00,0.50,-0.30,0.10,25.3,0
5,0.03,-0.02,1.01,0.60,-0.20,0.20,25.3,1
10,0.15,0.20,1.35,5.20,3.10,1.50,25.4,2
15,0.22,0.35,1.62,9.10,6.50,2.30,25.4,3
20,0.18,0.28,1.45,7.40,5.20,1.80,25.5,4
25,0.10,0.15,1.22,3.50,2.40,1.10,25.5,5
30,0.05,0.08,1.08,1.20,0.90,0.40,25.5,6
35,0.03,0.04,1.02,0.70,0.50,0.20,25.6,7
40,0.02,0.02,1.00,0.50,0.30,0.10,25.6,8
45,0.04,0.06,1.05,1.50,1.10,0.50,25.6,9
50,0.12,0.18,1.28,6.30,4.80,1.70,25.7,10
55,0.25,0.40,1.72,12.50,9.20,3.10,25.7,11
60,0.30,0.48,1.85,15.20,11.30,3.80,25.7,12
65,0.28,0.44,1.78,13.80,10.10,3.40,25.8,13
70,0.20,0.32,1.55,8.90,6.70,2.20,25.8,14
75,0.12,0.19,1.30,4.60,3.50,1.20,25.8,15
80,0.06,0.10,1.10,2.10,1.60,0.60,25.9,16
85,0.03,0.05,1.03,0.80,0.60,0.25,25.9,17
90,0.02,0.02,1.00,0.50,0.30,0.10,25.9,18
95,0.02,0.02,1.00,0.50,0.30,0.10,26.0,19
