# RideMetricX – Rear Suspension IMU Sample Data
# Position: rear | Session: 2025-06-01T10:00:00Z | Rate: 200 Hz
# Sensor: Bosch BMI088 | Bike: Yamaha Tenere 700 (2025)
timestamp_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,temp_c,sample_count
0,0.01,-0.01,0.98,0.30,-0.20,0.08,26.1,0
5,0.02,-0.01,0.99,0.40,-0.15,0.12,26.1,1
10,0.08,0.12,1.18,3.10,2.20,0.90,26.2,2
15,0.14,0.22,1.40,6.80,4.90,1.80,26.2,3
20,0.11,0.17,1.28,5.20,3.80,1.40,26.3,4
25,0.07,0.10,1.12,2.80,2.00,0.75,26.3,5
30,0.03,0.05,1.04,1.10,0.80,0.30,26.3,6
35,0.02,0.03,1.01,0.50,0.35,0.15,26.4,7
40,0.01,0.01,0.98,0.30,0.20,0.08,26.4,8
45,0.03,0.04,1.03,1.20,0.85,0.35,26.4,9
50,0.09,0.14,1.22,4.80,3.50,1.30,26.5,10
55,0.18,0.30,1.52,9.80,7.20,2.50,26.5,11
60,0.22,0.36,1.65,11.80,8.70,2.90,26.5,12
65,0.20,0.32,1.58,10.40,7.80,2.60,26.6,13
70,0.15,0.24,1.42,7.20,5.40,1.85,26.6,14
75,0.09,0.15,1.22,3.80,2.80,0.95,26.6,15
80,0.04,0.07,1.07,1.60,1.20,0.45,26.7,16
85,0.02,0.03,1.01,0.60,0.45,0.18,26.7,17
90,0.01,0.01,0.98,0.30,0.20,0.08,26.7,18
95,0.01,0.01,0.98,0.30,0.20,0.08,26.8,19
